task,count,exact_match,token_f1,char_f1,rougeL,kannada_char_ratio,chrf,bleu
CrossSum-IN Kannada,100,0.0,0.024491166161505432,0.23875028394328485,0.01720510883409494,0.3757212793980522,9.792086932555637,0.09528756283080353
FLORES-IN en→kn,100,0.0,0.21039673467273828,0.6477993554767844,0.14255799131380908,0.7225911841989207,31.530612555565877,5.736869517875209
XQuAD-IN Kannada,100,0.0,0.22536022502646547,0.5439942275581287,0.23505555555555552,0.6394482177200895,40.751425391568674,4.253760751866394
